1471,0,605,2303,200,"2013-12-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
3935,0,2284,0,587,"2016-05-18 00:00:00",\N,\N,\N,\N,\N,\N,\N
1671,0,5764,1737,270,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
3600,0,5310,0,19,"2015-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
5411,0,3454,0,571,"2017-12-04 00:00:00",\N,\N,\N,\N,\N,\N,\N
5779,0,4,0,173,"2022-08-03 00:00:00",\N,\N,\N,\N,\N,\N,\N
3138,0,4681,7379,425,"2015-12-11 00:00:00",\N,\N,\N,\N,\N,\N,\N
2747,0,2639,3,5,"2014-07-29 00:00:00",\N,\N,\N,\N,\N,\N,\N
65,1645,2610,1299,23,"2012-01-04 00:00:00",\N,\N,\N,\N,\N,\N,\N
462,8230,2524,4807,411,"2012-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
2996,0,5295,0,19,"2015-12-01 00:00:00",\N,\N,\N,\N,\N,\N,\N
5475,0,3554,0,182,"2017-11-03 00:00:00",\N,\N,\N,\N,\N,\N,\N
2577,0,874,5916,409,"2014-07-03 00:00:00",\N,\N,\N,\N,\N,\N,\N
4663,0,933,8207,261,"2016-12-16 00:00:00",\N,\N,\N,\N,\N,\N,\N
2789,0,5159,9096,26,"2014-09-29 00:00:00",\N,\N,\N,\N,\N,\N,\N
3278,0,773,0,415,"2015-12-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
4370,0,1036,0,525,"2016-12-05 00:00:00",\N,\N,\N,\N,\N,\N,\N
5747,0,3093,0,372,"2017-12-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
2946,0,475,3677,193,"2015-12-14 00:00:00",\N,\N,\N,\N,\N,\N,\N
4793,0,3724,8226,303,"2016-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
4822,0,1036,0,312,"2017-10-17 00:00:00",\N,\N,\N,\N,\N,\N,\N
1492,0,1036,0,403,"2013-12-23 00:00:00",\N,\N,\N,\N,\N,\N,\N
3324,0,3986,0,114,"2015-12-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
5058,0,4,0,532,"2017-11-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
429,5856,4765,3594,142,"2012-12-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
5246,0,2673,639,157,"2017-09-26 00:00:00",\N,\N,\N,\N,\N,\N,\N
4727,0,3298,0,410,"2016-12-23 00:00:00",\N,\N,\N,\N,\N,\N,\N
398,5746,1036,114,62,"2012-12-20 00:00:00",\N,\N,\N,\N,\N,\N,\N
1228,0,5210,0,454,"2013-12-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
691,9605,128,6039,384,"2013-09-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
2833,0,3093,14,15,"2014-10-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
2731,0,2524,41,57,"2014-07-18 00:00:00",\N,\N,\N,\N,\N,\N,\N
4013,0,2317,761,23,"2016-06-07 00:00:00",\N,\N,\N,\N,\N,\N,\N
3068,0,2527,0,19,"2017-07-10 00:00:00",\N,\N,\N,\N,\N,\N,\N
3457,0,2984,0,19,"2015-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
3607,0,688,3094,319,"2015-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
272,6924,5303,172,101,"2012-12-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
2580,0,5778,5731,128,"2014-08-14 00:00:00",\N,\N,\N,\N,\N,\N,\N
438,7516,3502,1587,21,"2012-12-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
2791,0,4583,195,142,"2014-08-15 00:00:00",\N,\N,\N,\N,\N,\N,\N
556,8563,1309,8722,34,"2013-09-13 00:00:00",\N,\N,\N,\N,\N,\N,\N
628,8272,1169,8486,415,"2013-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
4749,0,1036,6844,212,"2016-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
521,8930,4670,9101,276,"2015-01-21 00:00:00",\N,\N,\N,\N,\N,\N,\N
4609,0,2319,0,575,"2016-11-18 00:00:00",\N,\N,\N,\N,\N,\N,\N
581,9222,5238,7467,426,"2013-10-23 00:00:00",\N,\N,\N,\N,\N,\N,\N
648,9631,5213,9530,197,"2013-12-26 00:00:00",\N,\N,\N,\N,\N,\N,\N
3478,0,773,874,233,"2015-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
4306,0,2579,0,468,"2016-06-09 00:00:00",\N,\N,\N,\N,\N,\N,\N
5098,0,479,0,19,"2017-11-10 00:00:00",\N,\N,\N,\N,\N,\N,\N
1426,0,815,0,138,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
730,8786,731,8146,414,"2013-12-30 00:00:00",\N,\N,\N,\N,\N,\N,\N
4124,0,1263,8207,261,"2016-10-24 00:00:00",\N,\N,\N,\N,\N,\N,\N
1838,0,3495,9678,53,"2013-12-31 00:00:00",\N,\N,\N,\N,\N,\N,\N
3322,0,649,0,19,"2015-12-28 00:00:00",\N,\N,\N,\N,\N,\N,\N
